,val_loss_final,val_loss_final,val_f1_final,val_f1_final,params,params,sec_per_epoch_avg,sec_per_epoch_avg,gpu_mem_mb_peak,gpu_mem_mb_peak
pool_type,maxpool,strided,maxpool,strided,maxpool,strided,maxpool,strided,maxpool,strided
model,,,,,,,,,,
intermediate_add,0.16855820998549462,0.2828994166851044,0.9497878536818056,0.8791266903376898,699236.0,699236.0,10.990930533409118,10.903355538845062,486.09912109375,95.5126953125
intermediate_concat,0.09251662597060203,0.22854112029075624,0.9698067632850241,0.9033669006204862,879236.0,879236.0,11.23054713010788,11.10816044807434,667.48876953125,105.13671875
intermediate_hadamard,0.008465380489360541,0.2970290660858154,0.9949848291080519,0.8848213771524005,699236.0,699236.0,10.941423547267913,10.801840126514435,498.85498046875,95.5126953125
late_fusion,0.02247535586357117,0.2568501949310303,0.992479270990668,0.903612012987013,1305536.0,1305536.0,11.444954049587249,11.184368121623994,527.56689453125,101.00146484375
